Name,Age (that year),Nationality,Position,Market Value,Season,League,Team
Edgar Abreu,"Feb 16, 1994 (21)",Portugal,Central Midfield,€400k,2014,Portuguese First Division,Nacional
Saleh Gomaa,"Aug 1, 1993 (21)",Egypt,Attacking Midfield,€1.40m,2014,Portuguese First Division,Nacional
Tiago Rodrigues,"Jan 29, 1992 (23)",Portugal,Attacking Midfield,€1.20m,2014,Portuguese First Division,Nacional
Marco Matias,"May 10, 1989 (26)",Portugal,Left Winger,€2.80m,2014,Portuguese First Division,Nacional
Willyan,"Feb 17, 1994 (21)","Brazil""",Left Winger,€600k,2014,Portuguese First Division,Nacional
Wágner,"Apr 3, 1987 (28)",Brazil,Left Winger,€600k,2014,Portuguese First Division,Nacional
Witi,"Aug 26, 1996 (18)",Mozambique,Left Winger,€300k,2014,Portuguese First Division,Nacional
João Camacho,"Jun 23, 1994 (21)",Portugal,Left Winger,€200k,2014,Portuguese First Division,Nacional
Mario Rondón,"Mar 26, 1986 (29)","Venezuela""",Centre-Forward,€2.80m,2014,Portuguese First Division,Nacional
Hyun-jun Suk,"Jun 29, 1991 (24)","Korea, South",Centre-Forward,€2.00m,2014,Portuguese First Division,Nacional
Lucas João,"Sep 4, 1993 (21)","Angola""",Centre-Forward,€700k,2014,Portuguese First Division,Nacional
Reginaldo,"Jun 4, 1990 (25)",Mozambique,Centre-Forward,€600k,2014,Portuguese First Division,Nacional
Tiquinho Soares,"Jan 17, 1991 (24)","Brazil""",Centre-Forward,€25k,2014,Portuguese First Division,Nacional
Rafael Defendi,"Dec 22, 1983 (31)","Brazil""",Goalkeeper,€800k,2014,Portuguese First Division,Paços
António Filipe,"Apr 14, 1985 (30)",Portugal,Goalkeeper,€400k,2014,Portuguese First Division,Paços
Marco Ribeiro,"Jan 29, 1995 (20)",Portugal,Goalkeeper,€200k,2014,Portuguese First Division,Paços
Fábio Cardoso,"Apr 19, 1994 (21)",Portugal,Centre-Back,€750k,2014,Portuguese First Division,Paços
Flávio Boaventura,"Jul 12, 1987 (27)",Brazil,Centre-Back,€600k,2014,Portuguese First Division,Paços
Ricardo Ferreira,"Nov 25, 1992 (22)","Canada""",Centre-Back,€600k,2014,Portuguese First Division,Paços
Rafael Amorim,"Jul 30, 1987 (27)",Brazil,Centre-Back,€500k,2014,Portuguese First Division,Paços
Ricardo Silva,"Aug 19, 1980 (34)",Cape Verde,Centre-Back,€300k,2014,Portuguese First Division,Paços
Hélder Lopes,"Jan 4, 1989 (26)",Portugal,Left-Back,€900k,2014,Portuguese First Division,Paços
Nélson Pedroso,"Jun 10, 1985 (30)",Portugal,Left-Back,€700k,2014,Portuguese First Division,Paços
Luís Sousa,"Jul 22, 1989 (25)",Portugal,Left-Back,€100k,2014,Portuguese First Division,Paços
Jaílson,"Feb 21, 1991 (24)","Brazil""",Right-Back,€900k,2014,Portuguese First Division,Paços
Rodrigo Galo,"Sep 19, 1986 (28)",Brazil,Right-Back,€900k,2014,Portuguese First Division,Paços
Bruno Sousa,"May 15, 1996 (19)",Portugal,Right-Back,-,2014,Portuguese First Division,Paços
Jean Michaël Seri,"Jul 19, 1991 (23)",Cote d'Ivoire,Defensive Midfield,€1.60m,2014,Portuguese First Division,Paços
Rúben Pinto,"Apr 24, 1992 (23)",Portugal,Defensive Midfield,€1.50m,2014,Portuguese First Division,Paços
Vasco Rocha,"Jan 29, 1989 (26)",Portugal,Defensive Midfield,€600k,2014,Portuguese First Division,Paços
Romeu,"Feb 17, 1986 (29)",Portugal,Defensive Midfield,€400k,2014,Portuguese First Division,Paços
Valkenedy,"Jun 13, 1993 (22)",Brazil,Defensive Midfield,€100k,2014,Portuguese First Division,Paços
Filipe Anunciação,"May 27, 1979 (36)",Portugal,Defensive Midfield,-,2014,Portuguese First Division,Paços
Sérgio Oliveira,"Jun 2, 1992 (23)",Portugal,Central Midfield,€1.80m,2014,Portuguese First Division,Paços
Barnes Osei,"Jan 8, 1995 (20)",Ghana,Central Midfield,€100k,2014,Portuguese First Division,Paços
Paolo Hurtado,"Jul 27, 1990 (24)",Peru,Attacking Midfield,€2.00m,2014,Portuguese First Division,Paços
Minhoca,"Apr 29, 1988 (27)",Portugal,Attacking Midfield,€1.10m,2014,Portuguese First Division,Paços
Rúben Ribeiro,"Aug 1, 1987 (27)",Portugal,Attacking Midfield,€800k,2014,Portuguese First Division,Paços
Diogo Rosado,"Feb 21, 1990 (25)",Portugal,Attacking Midfield,€600k,2014,Portuguese First Division,Paços
Manuel José,"Feb 4, 1981 (34)",Portugal,Attacking Midfield,€400k,2014,Portuguese First Division,Paços
Andrezinho,"Aug 16, 1995 (19)",Portugal,Attacking Midfield,€100k,2014,Portuguese First Division,Paços
Diogo Jota,"Dec 4, 1996 (18)",Portugal,Left Winger,€250k,2014,Portuguese First Division,Paços
Jonathan Urretaviscaya,"Mar 19, 1990 (25)","Uruguay""",Right Winger,€1.50m,2014,Portuguese First Division,Paços
Edson Farias,"Jan 12, 1992 (23)",Brazil,Right Winger,€800k,2014,Portuguese First Division,Paços
Vasco Matos,"Oct 10, 1980 (34)",Portugal,Right Winger,-,2014,Portuguese First Division,Paços
Cícero,"May 8, 1986 (29)","Guinea-Bissau""",Centre-Forward,€1.50m,2014,Portuguese First Division,Paços
Bruno Moreira,"Sep 6, 1987 (27)",Portugal,Centre-Forward,€1.50m,2014,Portuguese First Division,Paços
Jaime Poulson,"Jun 22, 1989 (26)",Portugal,Centre-Forward,€300k,2014,Portuguese First Division,Paços
Johane Nizeyimana,"May 10, 1993 (22)","Burundi""",Centre-Forward,€100k,2014,Portuguese First Division,Paços
Romain Salin,"Jul 29, 1984 (30)",France,Goalkeeper,€2.10m,2014,Portuguese First Division,Marítimo
José Sá,"Jan 17, 1993 (22)",Portugal,Goalkeeper,€800k,2014,Portuguese First Division,Marítimo
Wellington,"Apr 21, 1990 (25)",Brazil,Goalkeeper,€300k,2014,Portuguese First Division,Marítimo
Patrick Bauer,"Oct 28, 1992 (22)",Germany,Centre-Back,€1.30m,2014,Portuguese First Division,Marítimo
Gegé,"Feb 24, 1988 (27)",Cape Verde,Centre-Back,€1.20m,2014,Portuguese First Division,Marítimo
Kaj Ramsteijn,"Jan 17, 1990 (25)",Netherlands,Centre-Back,€600k,2014,Portuguese First Division,Marítimo
Raúl Silva,"Nov 4, 1989 (25)",Brazil,Centre-Back,€500k,2014,Portuguese First Division,Marítimo
Igor Rossi,"Mar 10, 1989 (26)","Brazil""",Centre-Back,€350k,2014,Portuguese First Division,Marítimo
Cristiano Vasconcelos,"Jul 10, 1989 (25)",Portugal,Centre-Back,-,2014,Portuguese First Division,Marítimo
Rúben,"Feb 17, 1990 (25)",Portugal,Left-Back,€2.90m,2014,Portuguese First Division,Marítimo
Luís Olim,"Aug 27, 1981 (33)",Portugal,Left-Back,€300k,2014,Portuguese First Division,Marítimo
João Diogo,"Feb 28, 1988 (27)",Portugal,Right-Back,€900k,2014,Portuguese First Division,Marítimo
Briguel,"Mar 8, 1979 (36)",Portugal,Right-Back,€200k,2014,Portuguese First Division,Marítimo
Danilo Pereira,"Sep 9, 1991 (23)","Portugal""",Defensive Midfield,€3.00m,2014,Portuguese First Division,Marítimo
Fransérgio,"Oct 18, 1990 (24)","Brazil""",Central Midfield,€1.10m,2014,Portuguese First Division,Marítimo
Bruno Gallo,"May 7, 1988 (27)",Brazil,Central Midfield,€1.00m,2014,Portuguese First Division,Marítimo
Fernando Ferreira,"Nov 20, 1986 (28)",Portugal,Central Midfield,€900k,2014,Portuguese First Division,Marítimo
Alex Soares,"Mar 1, 1991 (24)",Portugal,Central Midfield,€800k,2014,Portuguese First Division,Marítimo
Theo Weeks,"Jan 19, 1990 (25)",Liberia,Attacking Midfield,€750k,2014,Portuguese First Division,Marítimo
Mohamed Ibrahim,"Mar 1, 1992 (23)",Egypt,Attacking Midfield,€600k,2014,Portuguese First Division,Marítimo
Éber Bessa,"Mar 21, 1992 (23)",Brazil,Attacking Midfield,€100k,2014,Portuguese First Division,Marítimo
Xavier,"Jul 6, 1992 (22)",Portugal,Left Winger,€400k,2014,Portuguese First Division,Marítimo
Félix Micolta,"Nov 30, 1989 (25)",Colombia,Left Winger,€300k,2014,Portuguese First Division,Marítimo
Edgar Costa,"Apr 14, 1987 (28)",Portugal,Right Winger,€1.10m,2014,Portuguese First Division,Marítimo
Johnny Vidales,"Apr 22, 1992 (23)",Peru,Right Winger,€400k,2014,Portuguese First Division,Marítimo
Moussa Maazou,"Aug 25, 1988 (26)",Niger,Centre-Forward,€2.50m,2014,Portuguese First Division,Marítimo
Dyego Sousa,"Sep 14, 1989 (25)","Portugal""",Centre-Forward,€650k,2014,Portuguese First Division,Marítimo
Kukula,"Jan 22, 1993 (22)",Cape Verde,Centre-Forward,€600k,2014,Portuguese First Division,Marítimo
Moussa Marega,"Apr 14, 1991 (24)","Mali""",Centre-Forward,€300k,2014,Portuguese First Division,Marítimo
Ebinho,"Jan 18, 1988 (27)",Brazil,Centre-Forward,€300k,2014,Portuguese First Division,Marítimo
Fabio Abreu,"Jan 29, 1993 (22)","Angola""",Centre-Forward,€100k,2014,Portuguese First Division,Marítimo
Cristian Alex,"Dec 1, 1993 (21)",Brazil,Centre-Forward,-,2014,Portuguese First Division,Marítimo
Cássio,"Aug 12, 1980 (34)","Brazil""",Goalkeeper,€600k,2014,Portuguese First Division,Rio Ave
Ederson,"Aug 17, 1993 (21)","Brazil""",Goalkeeper,€600k,2014,Portuguese First Division,Rio Ave
Carlos Alves,"Feb 18, 1998 (17)",Portugal,Goalkeeper,€100k,2014,Portuguese First Division,Rio Ave
Marcelo,"Jul 27, 1989 (25)","Brazil""",Centre-Back,€1.70m,2014,Portuguese First Division,Rio Ave
Prince Gouano,"Dec 24, 1993 (21)","France""",Centre-Back,€1.20m,2014,Portuguese First Division,Rio Ave
Roderick Miranda,"Mar 30, 1991 (24)","Portugal""",Centre-Back,€1.00m,2014,Portuguese First Division,Rio Ave
Marvin Zeegelaar,"Aug 12, 1990 (24)","Netherlands""",Centre-Back,€600k,2014,Portuguese First Division,Rio Ave
Pape Sow,"Dec 2, 1985 (29)","Senegal""",Centre-Back,€400k,2014,Portuguese First Division,Rio Ave
Nélson Monte,"Jul 20, 1995 (19)",Portugal,Centre-Back,€200k,2014,Portuguese First Division,Rio Ave
João Cunha,"Feb 4, 1996 (19)",Portugal,Centre-Back,-,2014,Portuguese First Division,Rio Ave
Tiago Pinto,"Feb 1, 1988 (27)",Portugal,Left-Back,€1.30m,2014,Portuguese First Division,Rio Ave
Lionn,"Jan 29, 1989 (26)","Portugal""",Right-Back,€1.55m,2014,Portuguese First Division,Rio Ave
Nuno Lopes,"Dec 19, 1986 (28)",Portugal,Right-Back,€500k,2014,Portuguese First Division,Rio Ave
Óscar Barros,"Jun 16, 1997 (18)",Portugal,Right-Back,-,2014,Portuguese First Division,Rio Ave
Filipe Augusto,"Aug 12, 1993 (21)",Brazil,Defensive Midfield,€2.00m,2014,Portuguese First Division,Rio Ave
Alhassan Wakaso,"Jan 7, 1992 (23)","Ghana""",Defensive Midfield,€1.40m,2014,Portuguese First Division,Rio Ave
Gus Ledes,"Sep 28, 1992 (22)","Portugal""",Defensive Midfield,€1.00m,2014,Portuguese First Division,Rio Ave
André Vilas Boas,"Jun 4, 1983 (32)",Portugal,Defensive Midfield,€500k,2014,Portuguese First Division,Rio Ave
Sunday Abalo,"May 14, 1995 (20)",Nigeria,Defensive Midfield,€300k,2014,Portuguese First Division,Rio Ave
Tarantini,"Oct 7, 1983 (31)",Portugal,Central Midfield,€1.75m,2014,Portuguese First Division,Rio Ave
Pedro Moreira,"Mar 15, 1989 (26)",Portugal,Central Midfield,€1.50m,2014,Portuguese First Division,Rio Ave
Júlio Alves,"Jun 29, 1991 (24)","Portugal""",Central Midfield,€550k,2014,Portuguese First Division,Rio Ave
Jony Ñiguez,"Apr 2, 1985 (30)",Spain,Central Midfield,€400k,2014,Portuguese First Division,Rio Ave
Vitó,"Sep 18, 1997 (17)",Portugal,Central Midfield,-,2014,Portuguese First Division,Rio Ave
Diego Lopes,"May 3, 1994 (21)",Brazil,Attacking Midfield,€3.00m,2014,Portuguese First Division,Rio Ave
Renan Bressan,"Nov 3, 1988 (26)","Belarus""",Attacking Midfield,€1.80m,2014,Portuguese First Division,Rio Ave
Bruno Sousa,"Mar 12, 1996 (19)",Portugal,Attacking Midfield,-,2014,Portuguese First Division,Rio Ave
Yonathan Del Valle,"May 28, 1990 (25)",Venezuela,Left Winger,€1.50m,2014,Portuguese First Division,Rio Ave
Emmanuel Boateng,"May 23, 1996 (19)",Ghana,Left Winger,€750k,2014,Portuguese First Division,Rio Ave
Ernest Ohemeng,"Jan 17, 1996 (19)",Ghana,Left Winger,€200k,2014,Portuguese First Division,Rio Ave
Ukra,"Mar 16, 1988 (27)",Portugal,Right Winger,€3.00m,2014,Portuguese First Division,Rio Ave
Renato Santos,"Oct 5, 1991 (23)",Portugal,Right Winger,€300k,2014,Portuguese First Division,Rio Ave
Iuri Gomes,"Nov 10, 1996 (18)","Angola""",Right Winger,-,2014,Portuguese First Division,Rio Ave
Ahmed Hassan,"Mar 5, 1993 (22)","Egypt""",Centre-Forward,€4.50m,2014,Portuguese First Division,Rio Ave
Esmaël Gonçalves,"Jun 25, 1991 (24)","Guinea-Bissau""",Centre-Forward,€750k,2014,Portuguese First Division,Rio Ave
William Jebor,"Nov 10, 1991 (23)",Liberia,Centre-Forward,€300k,2014,Portuguese First Division,Rio Ave
Marafona,"May 8, 1987 (28)",Portugal,Goalkeeper,€800k,2014,Portuguese First Division,Moreirense
André Moreira,"Dec 2, 1995 (19)",Portugal,Goalkeeper,€350k,2014,Portuguese First Division,Moreirense
Gideão,"Dec 19, 1987 (27)",Brazil,Goalkeeper,€300k,2014,Portuguese First Division,Moreirense
João Pedro,"Dec 29, 1987 (27)",Portugal,Centre-Back,€500k,2014,Portuguese First Division,Moreirense
Marcelo Oliveira,"Sep 5, 1981 (33)",Brazil,Centre-Back,€400k,2014,Portuguese First Division,Moreirense
Danielson,"Jan 9, 1981 (34)","Brazil""",Centre-Back,€350k,2014,Portuguese First Division,Moreirense
Stéphane Madeira,"Jan 4, 1990 (25)","France""",Centre-Back,€200k,2014,Portuguese First Division,Moreirense
Anilton Júnior,"Jul 10, 1980 (34)",Brazil,Centre-Back,€200k,2014,Portuguese First Division,Moreirense
João Sousa,"May 13, 1994 (21)","Portugal""",Centre-Back,€100k,2014,Portuguese First Division,Moreirense
Elízio,"Feb 22, 1988 (27)",Brazil,Left-Back,€700k,2014,Portuguese First Division,Moreirense
André Marques,"Aug 1, 1987 (27)",Portugal,Left-Back,€500k,2014,Portuguese First Division,Moreirense
Paulinho,"Jul 13, 1991 (23)",Portugal,Right-Back,€900k,2014,Portuguese First Division,Moreirense
Coronas,"Sep 19, 1990 (24)",Portugal,Right-Back,€600k,2014,Portuguese First Division,Moreirense
André Simões,"Dec 16, 1989 (25)",Portugal,Defensive Midfield,€1.40m,2014,Portuguese First Division,Moreirense
Rodrigo Battaglia,"Jul 12, 1991 (23)","Argentina""",Defensive Midfield,€1.25m,2014,Portuguese First Division,Moreirense
Filipe Melo,"Nov 3, 1989 (25)",Portugal,Defensive Midfield,€800k,2014,Portuguese First Division,Moreirense
Vítor Gomes,"Dec 25, 1987 (27)",Portugal,Defensive Midfield,€450k,2014,Portuguese First Division,Moreirense
Djibril Zidnaba,"Feb 20, 1994 (21)",Burkina Faso,Defensive Midfield,€250k,2014,Portuguese First Division,Moreirense
Lucas Souza,"Jul 4, 1990 (24)","Brazil""",Central Midfield,€600k,2014,Portuguese First Division,Moreirense
Luís Aurélio,"Aug 17, 1988 (26)",Portugal,Central Midfield,€400k,2014,Portuguese First Division,Moreirense
Patrick Andrade,"Feb 9, 1993 (22)",Cape Verde,Central Midfield,€100k,2014,Portuguese First Division,Moreirense
Bolívia,"Nov 17, 1985 (29)","Bolivia""",Attacking Midfield,€900k,2014,Portuguese First Division,Moreirense
Diogo Cunha,"Feb 10, 1986 (29)",Portugal,Attacking Midfield,€700k,2014,Portuguese First Division,Moreirense
Arsénio,"Aug 30, 1989 (25)",Portugal,Left Winger,€1.00m,2014,Portuguese First Division,Moreirense
Gerso,"Feb 23, 1991 (24)","Guinea-Bissau""",Left Winger,€900k,2014,Portuguese First Division,Moreirense
Jorge Monteiro,"Aug 15, 1988 (26)",Portugal,Left Winger,€450k,2014,Portuguese First Division,Moreirense
João Pedro,"May 4, 1986 (29)",Portugal,Right Winger,€1.80m,2014,Portuguese First Division,Moreirense
Ença Fati,"Aug 11, 1993 (21)","Guinea-Bissau""",Right Winger,€200k,2014,Portuguese First Division,Moreirense
Ramón Cardozo,"Apr 23, 1986 (29)",Paraguay,Centre-Forward,€1.20m,2014,Portuguese First Division,Moreirense
Alex Gonçalves,"May 20, 1990 (25)",Brazil,Centre-Forward,€1.00m,2014,Portuguese First Division,Moreirense
Leandro Souza,"Feb 23, 1987 (28)","Brazil""",Centre-Forward,€200k,2014,Portuguese First Division,Moreirense
Caleb Gomina,"Sep 24, 1996 (18)",Ghana,Centre-Forward,€100k,2014,Portuguese First Division,Moreirense
Ricardo Almeida,"May 9, 1997 (18)",Portugal,Centre-Forward,-,2014,Portuguese First Division,Moreirense
Vagner,"Jun 6, 1986 (29)",Brazil,Goalkeeper,€2.25m,2014,Portuguese First Division,Estoril
Pawel Kieszek,"Apr 16, 1984 (31)",Poland,Goalkeeper,€1.50m,2014,Portuguese First Division,Estoril
Rúben Dionísio,"Jul 7, 1995 (19)",Portugal,Goalkeeper,€100k,2014,Portuguese First Division,Estoril
Yohan Tavares,"Mar 2, 1988 (27)","Portugal""",Centre-Back,€2.90m,2014,Portuguese First Division,Estoril
Rúben Fernandes,"May 6, 1986 (29)",Portugal,Centre-Back,€2.00m,2014,Portuguese First Division,Estoril
Bruno Miguel,"Sep 24, 1982 (32)",Portugal,Centre-Back,€400k,2014,Portuguese First Division,Estoril
Bruno Nascimento,"May 30, 1991 (24)",Brazil,Centre-Back,€250k,2014,Portuguese First Division,Estoril
Emídio Rafael,"Jan 24, 1986 (29)",Portugal,Left-Back,€1.10m,2014,Portuguese First Division,Estoril
Alex Kakuba,"Jun 12, 1991 (24)",Uganda,Left-Back,€300k,2014,Portuguese First Division,Estoril
Ânderson Luís,"Jul 31, 1988 (26)",Brazil,Right-Back,€1.30m,2014,Portuguese First Division,Estoril
Mano,"Apr 9, 1987 (28)","Portugal""",Right-Back,€1.30m,2014,Portuguese First Division,Estoril
Diogo Amado,"Jan 21, 1990 (25)",Portugal,Defensive Midfield,€2.50m,2014,Portuguese First Division,Estoril
Filipe Gonçalves,"Aug 12, 1984 (30)",Portugal,Defensive Midfield,€1.20m,2014,Portuguese First Division,Estoril
Anderson Esiti,"May 24, 1994 (21)",Nigeria,Defensive Midfield,€400k,2014,Portuguese First Division,Estoril
Afonso Taira,"Jun 17, 1992 (23)","Portugal""",Defensive Midfield,€350k,2014,Portuguese First Division,Estoril
Diogo Baltazar,"Apr 15, 1995 (20)",Portugal,Defensive Midfield,-,2014,Portuguese First Division,Estoril
Babanco,"Jul 27, 1985 (29)",Cape Verde,Central Midfield,€1.20m,2014,Portuguese First Division,Estoril
Mattheus,"Jul 7, 1994 (20)","Brazil""",Central Midfield,€500k,2014,Portuguese First Division,Estoril
Ricardo Vaz,"Nov 26, 1994 (20)",Portugal,Right Midfield,-,2014,Portuguese First Division,Estoril
Tozé,"Jan 14, 1993 (22)",Portugal,Attacking Midfield,€2.75m,2014,Portuguese First Division,Estoril
Matías Cabrera,"May 16, 1986 (29)",Uruguay,Attacking Midfield,€900k,2014,Portuguese First Division,Estoril
Sebá,"Jun 8, 1992 (23)",Brazil,Left Winger,€2.80m,2014,Portuguese First Division,Estoril
Kuca,"Aug 2, 1989 (25)",Cape Verde,Left Winger,€600k,2014,Portuguese First Division,Estoril
Tijane,"Jun 28, 1991 (24)","Portugal""",Left Winger,€200k,2014,Portuguese First Division,Estoril
Javier Balboa,"May 13, 1985 (30)",Equatorial Guinea,Right Winger,€1.20m,2014,Portuguese First Division,Estoril
Fernandinho,"Mar 16, 1993 (22)","Brazil""",Right Winger,€300k,2014,Portuguese First Division,Estoril
Kléber,"May 2, 1990 (25)",Brazil,Centre-Forward,€2.20m,2014,Portuguese First Division,Estoril
João Pedro,"Mar 9, 1992 (23)","Italy""",Centre-Forward,€2.00m,2014,Portuguese First Division,Estoril
Léo Bonatini,"Mar 28, 1994 (21)","Brazil""",Centre-Forward,€700k,2014,Portuguese First Division,Estoril
Bruno Lopes,"Aug 19, 1986 (28)",Brazil,Centre-Forward,€500k,2014,Portuguese First Division,Estoril
Arthuro,"Aug 27, 1982 (32)","Brazil""",Centre-Forward,€250k,2014,Portuguese First Division,Estoril
Mika,"Mar 8, 1991 (24)","Portugal""",Goalkeeper,€1.50m,2014,Portuguese First Division,Boavista
Daniel Monllor,"Jul 20, 1984 (30)",Argentina,Goalkeeper,€300k,2014,Portuguese First Division,Boavista
Mamadou Ba,"May 8, 1985 (30)","Senegal""",Goalkeeper,€200k,2014,Portuguese First Division,Boavista
Brayan Beckeles,"Nov 28, 1985 (29)",Honduras,Centre-Back,€600k,2014,Portuguese First Division,Boavista
Philipe Sampaio,"Nov 11, 1994 (20)",Brazil,Centre-Back,€600k,2014,Portuguese First Division,Boavista
Fábio Ervões,"Feb 26, 1987 (28)",Portugal,Centre-Back,€500k,2014,Portuguese First Division,Boavista
Carlos Santos,"Mar 31, 1989 (26)",Portugal,Centre-Back,€500k,2014,Portuguese First Division,Boavista
Lucão,"Jul 14, 1991 (23)",Brazil,Centre-Back,€300k,2014,Portuguese First Division,Boavista
Aaron Appindangoyé,"Feb 20, 1992 (23)",Gabon,Centre-Back,€100k,2014,Portuguese First Division,Boavista
Luís Pimenta,"Nov 1, 1996 (18)",Portugal,Centre-Back,-,2014,Portuguese First Division,Boavista
Marek Cech,"Jan 26, 1983 (32)",Slovakia,Left-Back,€300k,2014,Portuguese First Division,Boavista
